ip_armies_size|부대 규모
ip_siege_warfare_text|바이킹 컨퀘스트는 암흑시대의 공성전을 최대한 정확하게 재현합니다. 플레이어가 정착지를 포위할 때, 그곳을 정복하기 위해 두 가지 경로를 택할 수 있습니다. 쇠약화(굶주림, 질병 등) 또는 강습입니다.^^전자의 경우, 플레이어의 목표는 정착지를 봉쇄하고 보급이나 증원을 차단하는 것입니다. 동시에 사기를 꺾거나 질병을 퍼뜨리고 식량 저장고를 파괴하는 등의 공작을 수행할 수 있습니다. 이 방식은 시간이 더 걸리지만 대규모 사상자가 발생하는 것을 피할 수 있습니다.^^후자의 경우, 공성 장비를 갖추거나 수비군을 약화시키고 성벽을 허무는 등의 준비가 되면 직접적인 행동에 나섭니다. 이 옵션은 플레이어가 정착지를 정복할 전면 공격 준비가 되었다고 느낄 때 사용해야 합니다. 더 빠르게 성공할 수 있다는 장점이 있지만, 보통 상당히 많은 인명 피해가 따릅니다.^^추가로, 정착지에 항구가 있다면 함대를 갖추어 바다에서 항구를 공격할 수도 있습니다.^^새로운 공성 시스템의 특징은 매우 방대하므로 이곳에 모두 설명하기는 어렵습니다. 직접 경험하며 자신만의 전략을 개발해 보십시오.
ip_sea_travel|해상 여행
ip_sea_travel_text|월드 맵의 연락선은 두 지점 사이를 이동시켜 줍니다. 부대 규모가 작을 때는 저렴하지만, 규모가 커질수록 비용이 증가합니다.^^바다를 통해 먼 거리를 이동하려면 한 항구 도시에서 다른 항구 도시로 여행할 수 있습니다. 이는 도시 메뉴나 항구에 있는 조선공과 대화하여 시작할 수 있습니다. 연락선과 마찬가지로 부대 규모에 따라 비용이 비싸집니다.^^자신만의 배를 소유하게 되면 도시 메뉴에서 '항구에서 출항'을 클릭해 바다로 나갈 수 있습니다. 해상 이동은 지상 이동과 거의 비슷하게 작동합니다.^^육지로 돌아오는 방법은 두 가지입니다. 항구를 클릭하거나 상륙 지점을 이용하는 것입니다. 상륙 지점을 찾으려면 해안을 따라 이동하거나 부대를 우클릭하여 '가까운 상륙 지점 찾기'를 선택하십시오. 항구와 마찬가지로 상륙 지점을 클릭하면 하선하며, 당신의 배는 내린 지점에 그대로 남습니다.^^부대 규모가 배의 수용량을 초과하면 출항할 수 없습니다. 이 경우 현재 위치와 목적지에 각각 부대 숙소를 세우고 군대를 단계적으로 수송할 수 있습니다.^^해상 여행 중에는 언제든지 현재 날씨를 확인할 수 있습니다. '야영' 버튼을 누르면 왼쪽에 현재 상태가 표시됩니다. 기상 조건이 변하면 화면 왼쪽 하단에 메시지가 나타납니다.^^바람이 부는 날씨는 월드 맵과 해전에서 배의 속도를 높여주지만, 동시에 배가 손상될 확률도 높아집니다. 손상은 선박의 상태를 악화시켜 속도를 늦추거나 '위험' 상태에 도달하면 배를 파괴할 수도 있습니다. '야영' 메뉴의 '선단' 항목에서 배의 상태를 확인할 수 있습니다.^^마지막으로 날씨는 전투 중 선박의 거동도 결정합니다. 이는 '야영' 메뉴의 '현 위치 확인'을 통해 미리 알 수 있습니다.^^해상 여행은 위험하며 부대의 사기를 떨어뜨릴 수 있습니다. 이 경우 메시지로 알림을 받게 됩니다. 병사들은 특히 바다 위에서 밤을 지새우는 것을 싫어합니다. 따라서 밤이 되기 전에 육지에 상륙할 수 있도록 경로를 계획하십시오. 해상 사기가 너무 낮아지면 병사들이 반란을 일으킬 수 있습니다.^^선원이나 특정 노스란드 병종과 같은 숙련된 해상 병력은 월드 맵에서 배의 속도를 높여줍니다. 이 효과는 야영 메뉴 왼쪽에서 확인할 수 있습니다.^^선단에 배가 여러 척일 경우, 선단의 속도는 가장 느린 배에 맞춰집니다. 하지만 배가 여러 척이라면 선단을 나눌 수 있습니다. 해안 가까이 이동한 후 '야영' -> '선단' -> '해안에 배 남기기'를 선택하여 느린 배를 떼어 놓을 수 있습니다. 배들을 다시 합치려면 모두 항구로 가져와야 합니다. 모든 배의 위치와 개요를 보려면 '인물' 화면의 '선박' 항목을 확인하십시오.
ip_sea_battle|해전
ip_sea_battle_text|해상 여행을 시작한 후 어느 시점이 되면 해전에 참여하게 될 것입니다.^^우선 선박을 조종하는 방법을 알아야 합니다. 전진, 고속 전진, 후진, 또는 정지 명령을 내릴 수 있으며, 위아래 화살표 키로 이 명령들을 전환합니다. 또한 직진, 우현(우측), 급우현, 좌현(좌측), 급좌현 방향 지시도 가능합니다. 좌우 화살표 키로 이 명령들을 전환합니다.^^현재 명령은 화면 우측 상단의 선박 표시 주위에 화살표로 나타납니다. Enter 키를 눌러 돛을 올리고, Backspace 키를 눌러 전술 지도를 볼 수 있습니다. 이 명령들을 사용하여 선박 조종 감각과 바람의 영향을 익혀보십시오.^^적선에 충분히 가까워지면 접현 및 승선 공격이 시작됩니다. 배들이 서로 묶이고 백병전이 벌어집니다. 운이 좋다면 전투 승리 후 적의 기함을 나포할 수도 있습니다.^^여러 척의 배를 보유한 해전에서는 '대기' 또는 '돌격' 명령을 내릴 수 있으며, 이 배들은 9번 '부대'에 할당됩니다. 부대 목록의 상위 병력들은 당신과 함께 기함에 탑승하며, 나머지 병력은 다른 배들에 나눠 탑승합니다. 기함은 항구에 머물 때나 해상에서 야영하는 중에 변경할 수 있습니다.^^충분히 큰 선단을 보유했다면 해안을 통해 도시를 공격할 수 있습니다. 적 항구 도시를 클릭하면 육지에 내리지 않고도 즉시 공격할 수 있는 옵션이 나타납니다.
ip_ship_info|선박
ip_ship_info_text|머지않아 당신은 자신만의 배를 장만하고 싶어질 것입니다. 여기에는 여러 이유가 있습니다. 장기적으로 볼 때 가장 저렴한 해상 이동 수단이며, 바다 위에서 완벽한 자유를 선사합니다. 또한 무역과 약탈의 새로운 기회를 열어줍니다.^^반면 단점도 있습니다. 우선 배는 비싸기 때문에 구입 자금을 모아야 합니다. 또한 배에는 제한된 수의 병력만 태울 수 있습니다.^^속도 또한 중요한 고려 사항입니다. 더 빠른 배가 있어야 적선을 추격하거나 적선으로부터 성공적으로 도망칠 수 있습니다. 배의 속도는 종류와 상태에 따라 결정됩니다.^^마지막으로, 선박 건조에 사용된 나무의 종류가 내구성에 영향을 미칩니다.  참나무로 만든 배는 매우 튼튼하지만, 너도밤나무로 만든 배는 더 자주 수리해야 합니다.^^배를 살 준비가 되었다면 항구 도시 메뉴의 '선박 보기'를 클릭하거나 조선공과 대화하십시오. 항구 도시에는 최대 3척의 배가 매물로 나오지만, 때로는 매물이 없을 수도 있습니다. 판매되는 배의 종류와 수량은 시간이 지나면 바뀝니다. 모든 항구 도시에서 배를 팔지만, 가장 좋은 배는 노스족과 프리지아의 항구에서 찾을 수 있습니다. 자신의 배를 확인하려면 도시 메뉴에서 '선박 보기'를 클릭하거나 선착장으로 가보십시오.^^항구에서는 돛을 꾸미거나 참나무로 된 배에 색을 칠할 수 있습니다. 플레이어의 배 전용인 특별한 돛도 하나 있는데, 이는 별도의 그래픽 에디터로 수정할 수 있습니다(바이킹 컨퀘스트에 포함되지는 않음). 자세한 내용은 DLC 파일 중 'Your Custom Sails' 폴더를 참조하십시오.^^배를 소유하게 되면 조선공이 당신을 대하는 태도가 달라지며 조언도 아끼지 않을 것입니다. 또한 조선공에게 배를 주문 제작할 수도 있습니다. 더 좋은 배를 만들려면 특별한 재료를 직접 구해서 가져와야 할 수도 있습니다. 또한 건조 시간이 더 오래 걸리며 노르드 항구의 실력 있는 조선공이 필요합니다. 제작한 선박 중 처음 7척은 선박 꾸미기 메뉴에서 자유롭게 이름을 지을 수 있습니다.
ip_wounds|부상
ip_wounds_text|전투 중에 캐릭터는 능력치를 저하시키는 특정한 부상을 입을 수 있습니다. 대도시에 있는 의사들에게 비용을 지불하고 치료받을 수 있으며, 치료에는 며칠이 소요됩니다. 치료가 완료되면 부상으로 인한 모든 부정적인 효과가 사라집니다. 만약 일정 시간 동안 부상을 치료하지 않으면 흉터로 변하게 되며, 이 경우 치료가 불가능해지고 부정적인 효과가 영구적으로 남게 됩니다.
ip_traits|특성
ip_traits_text|레벨 13에 도달하면 선택한 기술에 따라 다음 특성 중 하나를 획득할 수 있습니다.^^광전사: '광분'은 전투의 열기 속에서 일시적으로 속도와 힘을 향상시켜 줍니다. 이 잔혹한 맹위가 발동하면 시야가 붉게 변합니다.^^격려: 이 능력은 전투 중 함성을 통해 부하들의 용맹함을 강화하며 지휘력을 높여줍니다.^^불굴: 이 기술은 전투 중에 당신의 부대원들을 더 빠르게 이동시키고 민첩성을 증가시켜 줍니다.^^강인함: 부하들의 방패와 갑옷 관리에 세심한 주의를 기울여, 적들이 당신의 부하들에게 상처를 입히기 어렵게 만듭니다.^^전투 중 T 키를 눌러 이러한 특성들을 활성화할 수 있습니다.
ip_recruitment|징병 시스템
ip_recruitment_text|바이킹 컨퀘스트의 징병은 자동이 아니며 여러 요인에 의해 결정됩니다.^^첫째, 마을과 요새, 도시에서 징집하려면 해당 영지의 소유주인 영주의 허가를 받아야 합니다. 이를 위해서는 충분한 명성(150+)이 필요하며, 영주 및 그의 세력과 우호적인 관계를 유지해야 합니다.^^마을의 경우 마을 지도자(촌장)의 허가를 받아 징집할 수도 있습니다. 이 경로는 높은 명성(150+)과 우호도(15+)를 이용하거나, 지도자에게 뇌물을 건네 시도할 수 있습니다. 뇌물은 성공 여부가 불확실하므로 필요하다면 여러 번 시도해야 할 수도 있습니다.^^일단 허가를 받으면 정착지와의 관계가 우호적인 한 계속해서 병사를 모집할 수 있습니다. 마을에서는 1단계 병종을 모집하며, 관계가 충분히 높다면(60+) 2단계 병종까지 모집할 수 있습니다. 당신이 해당 마을의 영주라면 관계도가 20 이상만 되어도 2단계 병종의 모집이 가능합니다.^^요새나 도시에서는 기본적으로 2단계 병종을 모집할 수 있습니다. 해당 지역과의 관계가 충분히 높다면(30+), 30%의 확률로 3단계 병종이 나타나기도 합니다. 모집 가능한 최대 병력 수는 정착지와의 관계, 지휘력, 매력, 플레이어의 종교와 정착지의 주류 종교, 그리고 당신이 해당 지역의 영주인지 여부에 따라 결정됩니다.^^그 외에도 기독교인이라면 수도원에서 절망에 빠진 난민들을 모집할 수 있고, 농장에서 일자리를 찾는 자들을 모집할 수도 있습니다.
ip_wages|임금
ip_wages_text|부대 임금은 주로 플레이어의 '지휘력' 기술에 영향을 받습니다. 높은 단계의 병종일 경우 플레이어의 '설득' 기술 수준에 따라 임금이 추가로 감면되거나(보너스) 더 부과될(패널티) 수 있습니다. 도둑이나 바이킹 같은 무법자 계열 병종의 경우 플레이어의 명성이 '악명 높음(Notorious)'보다 더 나쁠 경우 임금 할인 혜택을 받습니다.
ip_skills|기술과 능력치
ip_skills_text|캐릭터를 생성하거나 육성할 때 다양한 기술과 능력치에 주의를 기울여야 합니다. 설득과 지휘력은 무역, 임금 관리, 영주 및 귀부인과의 상호작용, 강제 개종 등에 필수적입니다. 지능과 매력 능력치 또한 이러한 활동에 중요하며, 결혼이나 통솔 능력에도 영향을 미칩니다.^^해상 활동에는 '해상 지휘력', '항해', '약탈'의 세 가지 기술이 중요합니다.^^'해상 지휘력' 레벨은 지휘할 수 있는 선박의 수를 결정합니다. 1레벨은 최대 2척, 4레벨에 도달하면 최대 7척의 선박을 거느릴 수 있습니다.^^'항해' 기술은 해상 이동 속도를 높여줍니다. 이는 육지의 '길찾기' 기술과 대등한 효과를 내며, 참고로 길찾기 기술은 해상에서 아무런 도움이 되지 않습니다.^^'약탈' 기술이 높을수록 적선을 나포할 확률이 높아집니다.
ip_tactical_controls|전술 조작
ip_tactical_controls_text|숫자 키를 사용하여 분대를 선택할 수 있습니다. '0'번 키는 전 군대를 선택합니다.^^F1~F4 키를 사용하여 선택한 분대에 명령을 내립니다. F1 키를 길게 누르면 특정 지점을 지정하여 배치할 수 있으며, 이 방식으로 적 분대를 타겟팅할 수도 있습니다.^^ENTER 키를 누르면 공중에서 내려다보는 '전략 카메라'가 활성화됩니다.^^BACKSPACE 키를 누르면 '레이더'가 포함된 '전투 지휘 창'이 나타납니다.^^H 키를 누르면 말이 당신에게로 옵니다(승마 기술 4 이상 필요).^^Z 키를 누르면 웅크리기(Crouching)가 가능합니다.^^방어 키를 유지한 채 액션(공격) 키를 누르면 '방패 밀치기'를 수행합니다.^^특성을 획득한 후에는 T 키를 눌러 활성화할 수 있습니다.^^멀티플레이어에서는 Q 키를 유지한 채 방어 키를 눌러 적을 도발(Taunt)할 수 있습니다.
ip_division_placement|분대 배치
ip_division_placement_text|하나의 분대만 선택했을 경우, 해당 분대 1열의 중앙이 지정된 지점에 배치됩니다.^^여러 분대를 동시에 선택했을 경우, 플레이어가 서 있는 지점을 기준으로 각 분대가 분산되어 배치됩니다.^^F2 키 후 F7 키를 누르면 플레이어 위치를 기준으로 선택된 분대들의 배치를 기억할 수 있습니다. 기본값은 보병 좌측, 기병 우측, 궁병 전방입니다. '진형 옵션' 메뉴를 통해 플레이어가 직접 인솔하기로 설정한 분대는 이 배치 설정보다 우선권을 가집니다.^^야영 메뉴의 게임 옵션 설정에 따라 분대들이 적을 향해 회전하도록 할 수 있습니다. 그렇지 않으면 배치 당시 플레이어가 바라보던 방향을 유지합니다.
ip_formations|진형
ip_formations_text|전투 메뉴에서 사용할 수 있는 복잡한 진형은 다음과 같습니다.^^- 횡대(RANKS): 정예 병사를 전면에 배치합니다.^- 방패벽(SHIELD WALL): 방패를 든 병사를 전면에, 긴 무기를 든 병사를 후면에 배치합니다.^- 쐐기(WEDGE): 정예 병사를 정삼각형 꼭지점 전면에 배치합니다.^- 사각형(SQUARE): 특별한 순서 없이 사각형 대열을 형성합니다.^- 진형 해제(NO FORMATION)^^진형을 별도로 설정하지 않더라도, '밀집' 명령을 충분히 내려 최대 4줄까지의 대열을 직접 만들 수도 있습니다.
ip_dog_companion|동반자 개
ip_dog_companion_text|정신없이 길을 걷다 보면 갑자기 개가 짖는 소리를 듣게 됩니다. 운 좋게도 당신에게 소시지 한 조각이 있다면, 그것이 이 개와의 동료애의 시작이 될 것입니다. 이 개는 전장에서도 당신 곁을 떠나지 않으며 곧 이름을 지어주게 될 것입니다.^^전장에서 개는 9번 분대에 배치됩니다. 개에게 좋은 음식을 주면 능력치와 기술을 향상시킬 수 있습니다.
ip_rents|지대(세금)
ip_rents_text|소유한 모든 정착지에서는 지대 수입이 발생합니다. 지대는 장기적으로 평균 주 단위로 지급되지만, 지급 빈도는 불규칙할 수 있습니다. 어떤 주에는 수입이 들어오지만 다른 주에는 전혀 없을 수도 있습니다. 결제일까지 처리가 안 되면 가계부에는 '미납'으로 표시됩니다. 마을이 약탈당하거나 요새/도시가 노략질을 당하면 '수입 없음'으로 표시됩니다. 정착지가 정상 상태로 복구되면 다시 지대 지급 처리가 시작됩니다.^^지대는 정착지의 번영도, 특수 건물의 유무, 종교 구성, 세율 및 난이도 설정의 영향을 받습니다. 특히 특수 건물은 정착지가 노략질을 당하더라도 계속해서 수입을 발생시킵니다.
ip_quarters|은신처
ip_quarters_text|은신처(Quarters)를 이용하면 월드 맵의 특정 위치에 일부 병력을 남겨둘 수 있습니다. 최대 2개까지 보유 가능합니다.^^은신처가 유용한 상황은 다음과 같습니다.^- 배로 여행해야 하지만 모든 병력의 수송비를 감당하기 어려울 때^- 보유한 선단의 수용량이 모든 병력을 한 번에 옮기기에 부족할 때^- 도시에 몰래 잠입하고 싶을 때^- 월드 맵에서 더 빠르게 이동하고 싶을 때(부대 규모 축소)
